pais_codigo,pais,ano,valor
JPN,Japan,1987,4.73066586040017
JPN,Japan,1986,3.32652561623384
JPN,Japan,1985,5.23338094687848
JPN,Japan,1984,4.50199481622435
JPN,Japan,1983,3.52304498510377
JPN,Japan,1982,3.31245673740017
JPN,Japan,1981,4.20933646523171
JPN,Japan,1980,2.81759120738283
JPN,Japan,1979,5.4840418324284
JPN,Japan,1978,5.27194150317187
JPN,Japan,1977,4.39033795009327
JPN,Japan,1976,3.97498409113672
USA,United States,2025,2.16138195623856
USA,United States,2024,2.79318715363841
USA,United States,2023,2.93436322440155
USA,United States,2022,2.52421385073222
USA,United States,2021,6.15202247867526
USA,United States,2020,-2.081375977796
USA,United States,2019,2.58382533052225
USA,United States,2018,2.96650506701943
USA,United States,2017,2.45762230126449
USA,United States,2016,1.81945147909089
USA,United States,2015,2.94555045227337
USA,United States,2014,2.52381981757846
USA,United States,2013,2.11783009443471
USA,United States,2012,2.28911339009767
USA,United States,2011,1.56440685205419
USA,United States,2010,2.69519258673525
USA,United States,2009,-2.5765002366652
USA,United States,2008,0.113587247501258
USA,United States,2007,2.0038583039496
USA,United States,2006,2.78453963674239
USA,United States,2005,3.48354993710312
USA,United States,2004,3.84777169267127
USA,United States,2003,2.79560596378604
USA,United States,2002,1.70044733078285
USA,United States,2001,0.955538337599847
USA,United States,2000,4.07758575997799
USA,United States,1999,4.78842504836746
USA,United States,1998,4.48313335499124
USA,United States,1997,4.44712793442667
USA,United States,1996,3.77277269047364
USA,United States,1995,2.68443073970295
USA,United States,1994,4.02902272637739
USA,United States,1993,2.75179586314481
USA,United States,1992,3.52249717254271
USA,United States,1991,-0.108312873733027
USA,United States,1990,1.88596557755378
USA,United States,1989,3.67223784138015
USA,United States,1988,4.17698239478443
USA,United States,1987,3.45462966441372
USA,United States,1986,3.46265504522061
USA,United States,1985,4.16957535422245
USA,United States,1984,7.2364531665454
USA,United States,1983,4.58379096944093
USA,United States,1982,-1.80301377321203
USA,United States,1981,2.53770127042986
USA,United States,1980,-0.256775739391401
USA,United States,1979,3.16598822512103
USA,United States,1978,5.53520648057204
USA,United States,1977,4.62418650079432
USA,United States,1976,5.38803390614694
