pais_codigo,pais,ano,pib,crescimento,pib_per_capita,pib_anterior,variacao_pib,log_pib
FRA,France,1982,578152310609.841,2.44251268690125,10359.8920663549,609184791792.396,-0.05094099787233464,27.083103184071106
FRA,France,1983,553356312935.709,1.26205761797051,9862.28449386586,578152310609.841,-0.04288834831080568,27.039267958168452
FRA,France,1984,525033325827.516,1.60947146551595,9311.89426452129,553356312935.709,-0.05118399563914189,26.986727575290104
FRA,France,1985,547220981165.134,1.56907436604108,9657.01938533723,525033325827.516,0.042259518103251015,27.028118545292227
FRA,France,1986,764946585850.933,2.38953554470334,13430.4824599685,547220981165.134,0.3978751038058175,27.363071845918167
FRA,France,1987,926320855614.973,2.55274621143047,16175.7090467566,764946585850.933,0.21096148770247258,27.55448650792106
FRA,France,1988,1010827662151.75,4.81422400170246,17549.6440487161,926320855614.973,0.09122843993475027,27.641790578678542
FRA,France,1989,1016742237302.08,4.40516927190527,17547.2645422514,1010827662151.75,0.00585122011574124,27.64762474688983
FRA,France,1990,1257649439826.53,2.82962715326478,21586.4674617483,1016742237302.08,0.23694029193052502,27.860265570687787
FRA,France,1991,1258961748633.88,1.23666248297356,21500.7778366233,1257649439826.53,0.0010434615289383053,27.86130848818916
FRA,France,1992,1389663073110.28,1.5160611169627,23615.0168565483,1258961748633.88,0.10381675584522432,27.960082440243266
FRA,France,1993,1314383368079.69,-0.35899781051468,22238.8250618434,1389663073110.28,-0.054171191914960004,27.90438874996775
FRA,France,1994,1385822778827.98,2.38366086110145,23359.8985104774,1314383368079.69,0.054352034941421046,27.95731514331733
FRA,France,1995,1595219345511.89,2.30479278392259,26791.8151982369,1385822778827.98,0.15109909425864765,28.098032363407363
FRA,France,1996,1598889216566.23,1.39707987198881,26757.6351494145,1595219345511.89,0.0023005432228897504,28.10033026443224
FRA,France,1997,1449392222971.45,2.5270616339357,24169.4008102822,1598889216566.23,-0.093500532773521,28.002165427918946
FRA,France,1998,1496906382032.47,3.45259434279616,24869.4030795939,1449392222971.45,0.0327821264030308,28.034421682358058
FRA,France,1999,1486915879701.93,3.39930808809441,24576.3152254528,1496906382032.47,-0.006674099630048391,28.027725211330225
FRA,France,2000,1360959069477.49,4.14099996402915,22340.5939516217,1486915879701.93,-0.08471011167739328,27.939210765286347
FRA,France,2001,1370376677298.86,1.89946701186636,22331.7948343036,1360959069477.49,0.006919831780823449,27.946106764911075
FRA,France,2002,1492427756382.43,1.06775027069419,24144.5727019529,1370376677298.86,0.08906389104938928,28.031425276607752
FRA,France,2003,1835095983049.09,0.967827182558352,29479.5222101175,1492427756382.43,0.22960456558196873,28.238117902905866
FRA,France,2004,2109792297237.03,2.86825052501032,33644.9282220364,1835095983049.09,0.14969043402924376,28.37761062124283
FRA,France,2005,2192146403028.17,1.88856584109286,34696.3718316971,2109792297237.03,0.03903422431629422,28.415902272486615
FRA,France,2006,2317861544690.82,2.71406448755236,36431.5658906555,2192146403028.17,0.057347967950037715,28.47166612855778
FRA,France,2007,2655816911866.56,2.53048188351066,41486.1907828787,2317861544690.82,0.14580481217691554,28.607773411381512
FRA,France,2008,2926802941585.86,0.380171435849121,45464.8181385158,2655816911866.56,0.1020349062875896,28.704931797007667
FRA,France,2009,2700075882518.98,-2.82455153714783,41728.0884164132,2926802941585.86,-0.07746577531592547,28.62430099318056
FRA,France,2010,2646230027988.34,2.00032476039051,40694.8211697025,2700075882518.98,-0.019942348612960403,28.604157112078706
FRA,France,2011,2870408553990.28,2.43757653729007,43929.7840873812,2646230027988.34,0.08471619006317455,28.685475488875525
FRA,France,2012,2683007095787.23,0.183835264973013,40863.5814412333,2870408553990.28,-0.06528738145743573,28.617959332089832
FRA,France,2013,2816077607875.26,0.781756446231,42669.1795111893,2683007095787.23,0.04959752521600591,28.66636611345938
FRA,France,2014,2861236112552.42,0.997832947295251,43148.0459288416,2816077607875.26,0.01603595886380149,28.682274854571848
FRA,France,2015,2442483452642.5,1.06675474783462,36702.4323733379,2861236112552.42,-0.14635375880823887,28.52403644607786
